user_id,is_bot,bot_type
bot_000,True,automated_agent
bot_001,True,automated_agent
bot_002,True,automated_agent
bot_003,True,automated_agent
bot_004,True,automated_agent
bot_005,True,automated_agent
bot_006,True,automated_agent
bot_007,True,automated_agent
bot_008,True,automated_agent
bot_009,True,automated_agent
bot_010,True,automated_agent
bot_011,True,automated_agent
bot_012,True,automated_agent
bot_013,True,automated_agent
bot_014,True,automated_agent
bot_015,True,automated_agent
bot_016,True,automated_agent
bot_017,True,automated_agent
bot_018,True,automated_agent
bot_019,True,automated_agent
bot_020,True,automated_agent
bot_021,True,automated_agent
bot_022,True,automated_agent
bot_023,True,automated_agent
bot_024,True,automated_agent
bot_025,True,automated_agent
bot_026,True,automated_agent
bot_027,True,automated_agent
bot_028,True,automated_agent
bot_029,True,automated_agent
bot_030,True,automated_agent
bot_031,True,automated_agent
bot_032,True,automated_agent
bot_033,True,automated_agent
bot_034,True,automated_agent
bot_035,True,automated_agent
bot_036,True,automated_agent
bot_037,True,automated_agent
bot_038,True,automated_agent
bot_039,True,automated_agent
bot_040,True,automated_agent
bot_041,True,automated_agent
bot_042,True,automated_agent
bot_043,True,automated_agent
bot_044,True,automated_agent
bot_045,True,automated_agent
bot_046,True,automated_agent
bot_047,True,automated_agent
bot_048,True,automated_agent
bot_049,True,automated_agent
bot_050,True,automated_agent
bot_051,True,automated_agent
bot_052,True,automated_agent
bot_053,True,automated_agent
bot_054,True,automated_agent
bot_055,True,automated_agent
bot_056,True,automated_agent
bot_057,True,automated_agent
bot_058,True,automated_agent
bot_059,True,automated_agent
bot_060,True,automated_agent
bot_061,True,automated_agent
bot_062,True,automated_agent
bot_063,True,automated_agent
bot_064,True,automated_agent
bot_065,True,automated_agent
bot_066,True,automated_agent
bot_067,True,automated_agent
bot_068,True,automated_agent
bot_069,True,automated_agent
bot_070,True,automated_agent
bot_071,True,automated_agent
bot_072,True,automated_agent
bot_073,True,automated_agent
bot_074,True,automated_agent
bot_075,True,automated_agent
bot_076,True,automated_agent
bot_077,True,automated_agent
bot_078,True,automated_agent
bot_079,True,automated_agent
user_0000,False,human
user_0001,False,human
user_0002,False,human
user_0003,False,human
user_0004,False,human
user_0005,False,human
user_0006,False,human
user_0007,False,human
user_0008,False,human
user_0009,False,human
user_0010,False,human
user_0011,False,human
user_0012,False,human
user_0013,False,human
user_0014,False,human
user_0015,False,human
user_0016,False,human
user_0017,False,human
user_0018,False,human
user_0019,False,human
user_0020,False,human
user_0021,False,human
user_0022,False,human
user_0023,False,human
user_0024,False,human
user_0025,False,human
user_0026,False,human
user_0027,False,human
user_0028,False,human
user_0029,False,human
user_0030,False,human
user_0031,False,human
user_0032,False,human
user_0033,False,human
user_0034,False,human
user_0035,False,human
user_0036,False,human
user_0037,False,human
user_0038,False,human
user_0039,False,human
user_0040,False,human
user_0041,False,human
user_0042,False,human
user_0043,False,human
user_0044,False,human
user_0045,False,human
user_0046,False,human
user_0047,False,human
user_0048,False,human
user_0049,False,human
user_0050,False,human
user_0051,False,human
user_0052,False,human
user_0053,False,human
user_0054,False,human
user_0055,False,human
user_0056,False,human
user_0057,False,human
user_0058,False,human
user_0059,False,human
user_0060,False,human
user_0061,False,human
user_0062,False,human
user_0063,False,human
user_0064,False,human
user_0065,False,human
user_0066,False,human
user_0067,False,human
user_0068,False,human
user_0069,False,human
user_0070,False,human
user_0071,False,human
user_0072,False,human
user_0073,False,human
user_0074,False,human
user_0075,False,human
user_0076,False,human
user_0077,False,human
user_0078,False,human
user_0079,False,human
user_0080,False,human
user_0081,False,human
user_0082,False,human
user_0083,False,human
user_0084,False,human
user_0085,False,human
user_0086,False,human
user_0087,False,human
user_0088,False,human
user_0089,False,human
user_0090,False,human
user_0091,False,human
user_0092,False,human
user_0093,False,human
user_0094,False,human
user_0095,False,human
user_0096,False,human
user_0097,False,human
user_0098,False,human
user_0099,False,human
user_0100,False,human
user_0101,False,human
user_0102,False,human
user_0103,False,human
user_0104,False,human
user_0105,False,human
user_0106,False,human
user_0107,False,human
user_0108,False,human
user_0109,False,human
user_0110,False,human
user_0111,False,human
user_0112,False,human
user_0113,False,human
user_0114,False,human
user_0115,False,human
user_0116,False,human
user_0117,False,human
user_0118,False,human
user_0119,False,human
user_0120,False,human
user_0121,False,human
user_0122,False,human
user_0123,False,human
user_0124,False,human
user_0125,False,human
user_0126,False,human
user_0127,False,human
user_0128,False,human
user_0129,False,human
user_0130,False,human
user_0131,False,human
user_0132,False,human
user_0133,False,human
user_0134,False,human
user_0135,False,human
user_0136,False,human
user_0137,False,human
user_0138,False,human
user_0139,False,human
user_0140,False,human
user_0141,False,human
user_0142,False,human
user_0143,False,human
user_0144,False,human
user_0145,False,human
user_0146,False,human
user_0147,False,human
user_0148,False,human
user_0149,False,human
user_0150,False,human
user_0151,False,human
user_0152,False,human
user_0153,False,human
user_0154,False,human
user_0155,False,human
user_0156,False,human
user_0157,False,human
user_0158,False,human
user_0159,False,human
user_0160,False,human
user_0161,False,human
user_0162,False,human
user_0163,False,human
user_0164,False,human
user_0165,False,human
user_0166,False,human
user_0167,False,human
user_0168,False,human
user_0169,False,human
user_0170,False,human
user_0171,False,human
user_0172,False,human
user_0173,False,human
user_0174,False,human
user_0175,False,human
user_0176,False,human
user_0177,False,human
